reviewerID,asin,reviewText,clean_reviewText,summary,clean_summary,rating,helpful_rev,not_helpful_rev,helpful_rev_ratio,rev_year,rev_month,reviewTime,rating_class
A3LDPF5FMB782Z,1400501776,"The Nook tablet is a great color e-reader with the ""bonus"" of being able to read your email, shop on Amazon.com, surf the web, watch tv shows on Hulu Plus, movies on Netflix, and listen to the world's largest selection of music on Pandora Radio.  I added a 16gb sd card filled with thousands of my favorite songs. But, the Nook is designed to be an ereader...it is not a games tablet, or an IPad.I got my Nook Tablet (8gb version) from Barnes & Noble because of the extra discount I got with my B&N; membership...the price was MUCH less than advertised by most internet venders. I already have a Brand X color e-reader and a Nook Simple Touch reader. My old color reader was hard on my eyes for long reading sessions, the Nook Touch is great for books, but it does not have internet access or play music and magazines don't really work without a color screen.The Nook tablet has very sharp, clear, and contrasty fonts and is very pleasant to read, even for several hours. There is a night mode, and also a sephia mode for reading in bed without bothering anyone else. Magazines look great on its color screen. I listen to music on Pandora while I read, and when I am tired of reading, I can watch a movie on Netflix or a tv show on TV.com. I installed the Dolphin browser which uses tabs so I can switch quickly among various web pages.Vevo music videos look great, but the Nook's speaker is too weak to enjoy music. However, music sounds great through good ear buds and when I plug the Nook into my computer speakers.The Nook is an e-reader, NOT an I-Pad or high powered tablet. It does not have access to Google Play to obtain apps, so you are limited to the apps in the Nook app store. Those apps have been developed just for the Nook and its seven inch screen. The apps in Google Play are mostly designed for the smaller screens of cell phones, while Nook apps are designed just for the Nook.Bottom line: the Nook Tablet 8gb is a terrific way to read books and magazines while enjoying your favorite music (I loaded a 16gb memory card with thousands of my favorite songs...transferring the songs over to the Nook from my laptop was fast and easy).For folks who want the ""full"" tablet experience, Amazon.com sells the N2A card which enables you to boot your Nook into a full tablet mode, with access to Google Play, and the 400,000 apps available there. And, the N2A card also permits booting the Nook back into its original Nook settings, as the card does not modify any of the Nook's software or settings.",nook tablet great color e-reader bonus able read email shop amazon.com surf web watch tv show hulu plus movies netflix listen world largest selection music pandora radio add gb sd card fill thousands favorite songs nook design ereader not game tablet ipad.i get nook tablet gb version barnes noble extra discount get n membership price much less advertise internet venders already brand color e-reader nook simple touch reader old color reader hard eye long read sessions nook touch great book not internet access play music magazines don really work without color screen.the nook tablet sharp clear contrasty fonts pleasant read even several hours night mode also sephia mode read bed without bother anyone else magazines look great color screen listen music pandora read tire read watch movie netflix tv show tv.com instal dolphin browser use tabs switch quickly among various web pages.vevo music videos look great nook speaker weak enjoy music however music sound great good ear bud plug nook computer speakers.the nook e-reader not i-pad high power tablet not access google play obtain apps limit apps nook app store apps develop nook seven inch screen apps google play mostly design smaller screen cell phone nook apps design nook.bottom line nook tablet gb terrific way read book magazines enjoy favorite music load gb memory card thousands favorite songs transfer songs nook laptop fast easy .for folks want full tablet experience amazon.com sell card enable boot nook full tablet mode access google play apps available card also permit boot nook back original nook settings card not modify nook software settings .,Great Color E-Reader With Extra Features,great color e-reader extra feature,5.0,226,5,0.9783549783549784,2012,4,2012-04-11,good
A2AEZQ3DGBBLPR,B00000J1E6,"I bought this repair kit so I could watch a rental movie.  It had quite a few scratches and was skipping during the early parts.  After I was done, I had even more scratches and the movie skipped in the exact spot it did before.",buy repair kit could watch rental movie quite scratch skip early part do even scratch movie skip exact spot .,"Creates new scratches, didn't fix the old ones",create new scratch didn fix old ones,1.0,0,1,0.0,2006,9,2006-09-07,bad
ATY86XH2DJ4ZH,B00000J1EJ,"I am not an audiophile, but I do care about the sound I hear. I bought this headset last week mainly for the time I spend removing snow in winter. I wanted a headset that covers my ears well, while sounding OK. I thought this noise cancelling phone would be a great choice, especially because my snowblower is terribly loud. Well, it does cover my ears comfortably well, but unfortunately thats all that is good about this headset. It isnt particularly great sounding, and the biggest disappointment was noise cancellation - rather the lack of it. It is hard to perceive much difference between NC being on or off!! It does suppress some, so I know it is on, but it can hardly suppress anything real. I quickly gave up any hope about its use with snowblower, but I then found it cant do much about the sound of my home's furnace as well - which is barely audible even without a headset.. bummer.I have a Sony MDR-NC6 that I have been using for the past 2 years or so. It still works great, just that it doesnt have a cupped headset to cover my ear. If that is not one of your criteria, I highly recommend it. It sounds way better, is cheaper (at least now it is), noise cancellation works great too. See my review there.",not audiophile care sound hear buy headset last week mainly time spend remove snow winter want headset cover ears well sound ok think noise cancel phone would great choice especially snowblower terribly loud well cover ears comfortably well unfortunately thats good headset isnt particularly great sound biggest disappointment noise cancellation rather lack hard perceive much difference nc suppress know hardly suppress anything real quickly give hope use snowblower find cant much sound home furnace well barely audible even without headset bummer.i sony mdr-nc use past years still work great doesnt cup headset cover ear not one criteria highly recommend sound way better cheaper least noise cancellation work great see review .,not really a noise cancelling headset,not really noise cancel headset,2.0,5,0,1.0,2007,12,2007-12-06,bad
A2ATP6ZTCPX1QX,B00000J08C,I'm not one to complain much but I hate old products that get mixed in with the new. This is one I should have returned but missed my chance due to events happening. This was ordered by mistake. I'm sure it works just not for any of my devices.,not one complain much hate old products get mix new one return miss chance due events happen order mistake sure work not devices .,Take these old products to the can.,take old products .,1.0,0,0,0.0,2013,6,2013-06-29,bad
A3QPWNKTUC8N2B,1400532736,"I bought this ereader and the Amazon Kindle ereader at the same time, so I could compare both together. After about a week I gave the Amazon ereader to my nephew and I kept the Nook. I am left handed, so holding things in my left hand feels natural to me. I really like how this can be held in the left hand and still have access to forward and back page turn buttons. Also, I like that it has a touch screen in addition to the physical buttons as well to turn pages. Also, and this was the biggest reason I kept the Nook. It has a more natural feel in the hand to me. My thumb rest comfortably next to the screen will reading. Overall, in my opinion this is a better ereader then the others out there.",buy ereader amazon kindle ereader time could compare together week give amazon ereader nephew keep nook leave hand hold things leave hand feel natural really like hold leave hand still access forward back page turn button also like touch screen addition physical button well turn page also biggest reason keep nook natural feel hand thumb rest comfortably next screen read overall opinion better ereader others .,My favorite ereader...,favorite ereader,5.0,0,0,0.0,2014,4,2014-04-29,good
AZANOSUQAY5C6,1615527613,"I had the original adapter that came with my Nook Color for 2 years without any problems. After 2 years it finally broke, and I didn't even know people were having troubles with their chargers until I had to buy a new one. I have had this one for at least a couple weeks now and again I don't seem to be having any problems with it.The original charger that did finally break was because of the area where it plugs into the system though, which is where everyone is having problems. So I will not deny that this seems to be an issue. For that it loses a star, but because I personally haven't had any major problems with them I will still give it 4 stars.",original adapter come nook color years without problems years finally break didn even know people trouble chargers buy new one one least couple weeks don seem problems it.the original charger finally break area plug system though everyone problems not deny seem issue lose star personally haven major problems still give star .,I don't seem to have the same problems everyone else has,don seem problems everyone else,4.0,0,0,0.0,2013,1,2013-01-16,good
A3OKH5G69MS8D9,1400532655,"I agree with the other positive reviews. The color nook is an excellent reading machine, much better than either the Kindle or the e-ink B&W nook. Using the color Nook is totally intuitive with only a few positive surprises at some unexpected capabilities. The battery life is around 8 hours, so you will need to have your special recharging cord, which comecolor s with the Nook, handy. There are small imperfections in the Nook operating system that will get corrected as Barnes and Noble releases updates. The same was true with the Kindle and B&W Nook when first released. The key to a good reading experience with the color Nook is to turn the brightness down, way down. That way eye fatigue is minimal, similar to the e-ink B&W readers with similar brightness. Even with the brightness down, the contrast is excellent and the letters clear. When browsing the web, you might want to turn the brightness up a bit to beautifully display all those colors. The web browser is excellent. It works for email, especially Google mail.  The trick with the power limitations is to keep the brightness down when using the Nook as a reader and turn the internet off. Only turn the internet on when browsing or shopping. That way, when you put it down at night, the power level will be the same in the morning as it was when you went to sleep. Costing only $249 (Dec 2010) at Barnes and Noble, it's affordable and useful, especially if you travel.  The minus 1 star is for the few little glitches in the 1.0 operating system (based on Android 2.2), for the 8 hour battery life, and for the current lack of Apps. For what it is supposed to do, it does it well; it's better than an i-Pad (smaller, lighter, and far less costly). Upgrades and Apps will follow, making an excellent device even better.",agree positive review color nook excellent read machine much better either kindle e-ink w nook use color nook totally intuitive positive surprise unexpected capabilities battery life around hours need special recharge cord comecolor nook handy small imperfections nook operate system get correct barnes noble release update true kindle w nook first release key good read experience color nook turn brightness way way eye fatigue minimal similar e-ink w readers similar brightness even brightness contrast excellent letter clear browse web might want turn brightness bite beautifully display color web browser excellent work email especially google mail trick power limitations keep brightness use nook reader turn internet turn internet browse shop way put night power level morning go sleep cost dec barnes noble affordable useful especially travel minus star little glitches operate system base android hour battery life current lack apps suppose well better i-pad smaller lighter far less costly upgrade apps follow make excellent device even better .,Color Nook 1.0,color nook,4.0,7,1,0.875,2010,12,2010-12-20,good
AEWYZOB8G3MBQ,B00000J506,"I have owned five of these UPS units over the past four years. I purchased three for my Mac and PC at home. Then I had to purchase two replacements for units that simply quit. Currently only ONE still works! I have very infrequent power outages, perhaps three in the past four years. These units work well to allow you to save your work and shut down. My G5 mac was so power hungry that I had to use one for the computer and another for the 23 inch LCD.  I can't comment on other UPS brands such as Belkin,  but I have seen many competing brands on the web and at the computer stores. There seen to be quite a few dealers selling refurbished APC products but this may be a reflection of APC's popularity rather than the poor reliability of their brand. My experience over the past four years has been mixed. These are not inexpensive units and you have to decide how precious your data becomes. If you really fear the loss of data during a blackout then the answer is clear. I chose to switch to high quality surge suppressors and never work during potential storms. Many users do not have that flexibility so a UPS is essential insurance. The units I puchased were identical and only one unit is still operational after four years. I can accept the need to replace the battery every one to two years; three of the batteries failed and alarms beeped until I bought new batteries. Prices vary from $15 to $50 depending on the vendor. Battery life depends on many factors so I don't begrudge APC for wear and tear on the battery but to have 4 out of 5 units simply stop working is unacceptable. I bought APC branded batteries and can't explain why the recurrent failures. I'm frustated with my APC products but it may be a problem with this model. Just beware of the hidden costs of battery replacement when purchasing an UPS!",own five up units past four years purchase three mac pc home purchase two replacements units simply quit currently one still work infrequent power outages perhaps three past four years units work well allow save work shut mac power hungry use one computer another inch lcd comment up brand belkin see many compete brand web computer store see quite dealers sell refurbish apc products may reflection apc popularity rather poor reliability brand experience past four years mix not inexpensive units decide precious data become really fear loss data blackout answer clear choose switch high quality surge suppressors never work potential storm many users not flexibility up essential insurance units puchased identical one unit still operational four years accept need replace battery every one two years three batteries fail alarm beep buy new batteries price vary depend vendor battery life depend many factor don begrudge apc wear tear battery units simply stop work unacceptable buy apc brand batteries explain recurrent failures frustated apc products may problem model beware hide cost battery replacement purchase up,Not Very Durable. Will need battery changes.,not durable need battery change .,2.0,8,1,0.8888888888888888,2006,2,2006-02-05,bad
A4KQW4S2PAXIT,9888002198,"Product was shipped quickly from Toy 4 Kids. At first, I loved it. It's compact, has all kinds of adapters, and very lightweight -- seemed perfect for travel. My first night in Italy, it plugged right in and charged both my camera battery (in regular outlet) and ipad (using the USB port). Unfortunately, after the 2nd night, there were faint black burn marks on the white plastic and it failed to charge anything else after that. Burnt out after just 2 nights?  In short, great idea but very little durability.",product ship quickly toy kid first love compact kinds adapters lightweight seem perfect travel first night italy plug right charge camera battery regular outlet ipad use usb port unfortunately nd night faint black burn mark white plastic fail charge anything else burn nights short great idea little durability .,Great for the few days it worked.,great days work .,1.0,0,0,0.0,2013,2,2013-02-22,bad
ATF9GIT9E3X5S,1400501776,"Between this and other popular competitors there isn't a lot of difference in hardware.  The software and usability is noticeably different though, and that's where you should pay close attention.  I bought my wife the Nook Tablet for Christmas and she uses it a fair amount.  I haven't heard any major complaints from her but here are the ones I've heard most often.The Barnes and Noble App Store is a joke.  I looked through it for about 5 minutes and barely ever saw a free app.  Many popular apps and games are there, but usually you can only get the paid version.  Adding insult to injury, side-loading is difficult if not impossible without rooting the device (this will void the warranty).  I didn't expect side-loading to be a given really, but if you block those apps you really need a decent App Store to make up for it.The SD card slot, which many people may not ever use, is in a pretty odd spot.  It's not really hard to pry back the cover but since you're working with a micro-SD card it can be really annoying to  line up such a tiny card in the slot.  If that wasn't annoying, it is definitely annoying to load your PDFs or whatever from the SD card once its inserted.  For someone who isn't really tech-savvy it isn't obvious how to read those files.  The reader app could really do a better job of detecting documents when the SD card is inserted.On the aesthetic side the launcher could use some work.  Although I think the scrolling app dock at the bottom is slightly more elegant than a grid-like app drawer, there's little organization to the home screen.  You can drag icons around, to and from the dock, but apps/books don't lock to any kind of grid on the home screen.  Some of us who are more anal retentive just won't stand for two icons being less than parallel.  You can see a better view of your media by opening the Library app, which is a nice app, but I find the contrast displeasing, further emphasizing this is a tablet with e-reader functions (or vice versa maybe).  Basically the cohesion isn't there and you start to wonder, with all of the restrictions, why you didn't just get a regular tablet.I still haven't rooted my wife's tablet but maybe if something annoys her enough she'll let me do it.  Otherwise, if you're not planning to root the NOOK, beware of its restrictions and browse its App Store for a bit to see if the selection and prices are a deal-breaker.  This is an e-reader FIRST and a tablet SECOND.  If you're satisfied with its e-reader capabilities I'm sure you'll be happy with this device.",popular competitors isn lot difference hardware software usability noticeably different though pay close attention buy wife nook tablet christmas use fair amount haven hear major complaints ones hear often.the barnes noble app store joke look minutes barely ever saw free app many popular apps game usually get pay version add insult injury side-loading difficult not impossible without root device void warranty didn expect side-loading give really block apps really need decent app store make it.the sd card slot many people may not ever use pretty odd spot not really hard pry back cover since work micro-sd card really annoy line tiny card slot wasn annoy definitely annoy load pdfs whatever sd card insert someone isn really tech-savvy isn obvious read file reader app could really better job detect document sd card inserted.on aesthetic side launcher could use work although think scroll app dock bottom slightly elegant grid-like app drawer little organization home screen drag icons around dock apps/books don lock kind grid home screen us anal retentive win stand two icons less parallel see better view media open library app nice app find contrast displease emphasize tablet e-reader function vice versa maybe basically cohesion isn start wonder restrictions didn get regular tablet.i still haven root wife tablet maybe something annoy enough let otherwise not plan root nook beware restrictions browse app store bite see selection price deal-breaker e-reader first tablet second satisfy e-reader capabilities sure happy device .,Know What You're Buying,know buy,3.0,6,1,0.8571428571428571,2012,6,2012-06-05,bad
